titles,content
贾秀全：通过训练和比赛调整状态,  信息时报讯（记者 邹甜）“我们，怀抱奥运梦想；我们，即将奔赴赛场；路途艰难，但梦想就是力量。做好自己，准备上场！”中国之队发布了2020东京奥运会女足预选赛B组首战的赛事海报——北京时间今天下午1点30分，中国女足将在澳大利亚与泰国女足进行比赛。  2020的春节，受新型冠状病毒感染的肺炎传播影响，中国女足征战本次奥预赛可谓经历了一波三折，两度变更比赛地，两度更改比赛时间。期间，中国女足不仅因需要隔离而无法正常训练，队中数名重要球员王霜、姚伟、吕悦云、李梦雯也因为疫情防控的需要而无法出战。  此次预选赛原本在武汉举行，最终亚足联宣布由悉尼承办，中国女足1月29日从北半球飞抵南半球的布里斯班后，按当地卫生部门要求，一直遵守隔离措施，直到2月5日才“解封”。给予中国女足在室外备战奥预赛的时间仅剩下一天。  奥预赛B小组的比赛，除了中国女足的赛事延期外，其他赛事都如期举行，中国女足首个对手泰国队在首战中以0:1不敌中国台北队。泰国队整体实力在中国队之下，虽然中国女足经历了种种挫折，但相信能在本场比赛取得“开门红”。  中国女足主教练贾秀全表示，“虽然球队在备战奥预赛过程中经历了很多波折，但目前队员精神状态很好，非常期待站上赛场。球队也会通过训练和比赛，努力调整，努力拼搏，争取好成绩。我们非常感谢澳大利亚足协、亚足联提供的各种帮助，以及中国驻当地使领馆和当地华人的大力支持。”  根据赛程，中国女足先后过招泰国、中国台北和澳大利亚。获得小组前两名后，还要同A组的前两名打附加赛。附加赛将采取主客场两回合交叉淘汰赛制，将于3月6日和3月11日打响。
中国女篮力克英国夺开门红,东京奥运会女篮资格赛赛程 2月8日19:00中国VS西班牙 2月9日19:00中国VS韩国 本报综合消息经历了比赛易地的“风波”之后，中国女篮的终极奥运资格战正式开打。6日晚，中国女篮迎来小组赛首个对手英国队，中国篮协主席姚明也前往塞尔维亚现场观战。最终，中国队以86：76击败英国女篮，取得开门红。 全场比赛，中国女篮5人得分上双——韩旭16分5篮板3封盖、李梦16分、邵婷16分、王思雨14分、李缘13分。 下一战，中国队将在北京时间8日晚迎战本次小组最强对手西班牙队，如果能够取胜西班牙队，中国队将提前获得奥运资格。 对手有三个WNBA球员？我们不怕 尽管在本次分组中英国队的世界排名最低，仅为第19位，但从过往战绩和参赛阵容来看，她们的实力并不弱。在去年欧洲锦标赛上，英国队闯入四强，创造了队史最好成绩。 而从本次英国队的参赛阵容来看，她们的队员平均年龄为28岁，队伍中目前有3名效力WNBA的球员，分别是泰米·法格贝尔、克里斯蒂·阿尼格和凯莉·萨缪尔森。 其中头号球星中锋泰米·法格贝尔尤为值得中国女篮注意，她在欧锦赛场均可以砍下20.9分和6.7个篮板，在内线颇有优势。 不过，在比赛开始之后，英国队却率先在外线发难，她们单节命中三记三分，以26比21领先结束首节。 次节，双方各自涨分，韩旭展现出稳定的中距离投射能力，连续中投得手，不过对方中锋泰米·法格贝尔同样不遑多让，内线多次利用脚步晃开中国队取分。半场结束，中国队43：46暂时落后。 易边再战，中国女篮抓住英国队失误的机会形成反击，同时王思雨、李缘外线架起炮台，轮番三分命中，单节净胜对手10分，中国队65：59反超。 关键的第四节，中国女篮的表现虽有波动，但还是顶住了法格贝尔的冲击，最终顺利拿下本届奥预赛的开门红。 姚明督战，她们是“全村的希望” 战胜英国队后，中国女篮7日可暂时休整，将于8日挑战小组最强对手——西班牙队。 主教练许利民在比赛开始前坦言，“西班牙实力最强，她们是世界杯冠军，目前在我们这个小组独一档。” 虽然首战获胜，但从中国队与英国队的比赛场面来看，姑娘们的场上状态依旧有些紧，存在内外线衔接不畅、外线还未完全找到手感等问题。 以此状态迎战西班牙队，显然并不足够，当然个中原因，或许也与从手握主场优势变为客场作战有关。 中国女篮助理教练郑薇就说过，“主场变客场后，困难肯定增多，对手也不断补强实力，最终打得怎么样，最主要还得看全队的心态调整和临场发挥。” 而如果负于西班牙队，中国女篮与最后一个对手韩国队的比赛结果就至关重要，届时中国女篮必须抛开一切，背水一战。 无论如何，本次中国女篮的终极奥运资格战，代表着目前中国篮球进军东京奥运会的最大希望，这点从篮协主席姚明出现在贝尔格莱德现场督战就能看出。 可以说，中国女篮就是“全村的希望”。
奥预赛：中国女足今日首战泰国,奥运女足亚洲区预选赛 今日 13:30 中国VS泰国 CCTV5 本报综合消息 2月7日13点30分，2020东京奥运会女足亚洲区预选赛决赛阶段B组首轮中国女足与泰国女足的比赛，在澳大利亚的坎贝尔敦体育场进行。 本届女足奥预赛分为4个阶段，获得前2名的球队以及东道主日本将代表亚洲参加东京奥运会女足项目比赛。中国女足直接入围第3阶段比赛，第3阶段分为2个小组，每组4支球队，小组前2名进行交叉半决赛，两回合比赛的胜者将获得东京奥运会入场券。中国女足被分在B组，同组球队包括澳大利亚、中国台北、泰国。A组包括韩国、越南、缅甸，原本朝鲜也被分在A组，但因拒绝前往韩国比赛而选择退赛。 按照原定计划，中国女足所在的B组赛事安排在武汉进行，因肺炎疫情的影响改在南京，最终中国足协决定不再主办该项赛事，由澳大利亚足协主办。B组比赛的赛程，也因疫情的影响多次调整，最终敲定中国女足7日战泰国、10日战中国台北、13日战澳大利亚。 王霜、姚伟、吕悦云三名武汉籍球员以及浙江籍球员李梦雯受疫情防控影响，此次未能随球队出征澳大利亚。中国女足21名球员前往澳大利亚后即被隔离，连日常训练都无法保证，直至5日才解除隔离。 不过，对中国女足利好的是，同组首战对手泰国队实力较弱。在最新一期国际足联女足排名榜上，中国女足列第15位、亚洲第4，泰国队则位列世界第38位，亚洲第7。过往两队交锋16次，中国队15胜1平保持不败，进67球失7球，双方最近一次交锋是在2018年的永川女足四国赛上，当时中国队凭借李影和任桂辛的进球以2：0击败对手。泰国女足在2月3日的第一场小组赛，以0：1输给了中国台北女足。女足主帅贾秀全表示，通过比赛录像，可以看出泰国女足目前的状态不太好，呈下滑趋势。我们要把握机会，全取三分。
中国女篮，开门红！,"　　羊城晚报讯 记者周方平报道：2020奥运会女篮资格赛昨晚在塞尔维亚贝尔格莱德打响，中国队首战英国队，在上半场落后的情况下，凭借下半场强横的防守及内外开花，以86比76战胜对手取得开门红，晋级奥运会前景一片大好。
　　根据比赛规则，小组前三名均可以取得进军东京奥运会的资格。在中国队这个小组里，西班牙队实力高出一筹，中国与英国、韩国队实力相当，只要拼下一队便可以将晋级主动权紧紧拿到手里。中国队首个对手英国队世界排名比中国队低8位，虽然她们有两名WNBA现役球员，但并非欧洲传统强队，表现时好时坏，赢得开门红是在中国队计划里的。
　　然而，比赛打得并不顺利。上半场中国队打得非常拘谨，内线首发李月汝打不开，无法使全队形成内外开花的局面。幸亏外线李梦、王思雨、李缘都发挥出色，使中国队半场只以43比46落后了三分。
　　比赛的转折点是第三节。主教练许利民果断地以韩旭替代李月汝首先出场，收到很好效果。韩旭灵活的脚步、神准的中投，令英国队很难防范。当内线打开后，中国队又抓住大量外线空位机会，王思雨、杨力维、黄思静“三分雨”下，一节以22比13赢了9分，彻底扭转被动局面。
　　中国女篮能够在第三节强势逆转，还得益于中国女篮助理教练贾楠中场的一段激昂动员：“球场如战场，上场就得拼和抢，准备好了吗？” “准备好了！”女篮姑娘们回应。“拼是什么？防守！抢是什么？篮板！”贾楠继续点出比赛的两个关键点，而一众队员也是高喊“防守”和“篮板”，在如此情绪的鼓舞下，中国队终于打出自己的水平，一举逆转对手。
　　全场比赛韩旭、李梦和邵婷三大主力均得到16分，中国队全队五人得分上双。其中韩旭9投8中，除了得到全队最高分外，还拿下5篮板、3盖帽，效率极高，是中国队取胜的第一功臣。中国队篮板比对手多9个，也是取胜的一大因素。英国队WNBA明尼苏达山猫队主力中锋法格本砍下全场最高的26分，但独力难支。
　　这次中国队本来是在佛山赛区比赛，但临时改到了贝尔格莱德，中国姑娘们克服种种困难，并提前五天到达赛地备战，而且到达后头三天缺乏训练场地的情况下，能够首战力克英国队殊为不易。女篮姑娘们身在赛地仍然惦记着武汉，她们纷纷在自己的球鞋上写上“武汉加油”的字样，为远在千里的祖国同胞们加油。"
奥运会“绝对不会”因疫情取消,  据新华社东京2月6日电（记者王子江）东京奥组委6日再次确认，尽管新型冠状病毒感染的肺炎疫情仍在持续，但将于7月24日开幕的东京奥运会“绝对不会取消”。  据共同社报道，东京奥组委同时也明确表示，会采取“一切可能的措施”应对疫情带来的威胁，这些措施主要集中在两个方面，一是防止奥组委内部出现感染，以免奥运会筹备工作受到妨碍；二是防止奥运会期间运动员受到感染，并且为可能出现的感染提出应对预案。
中国女篮首战迎开门红,　　广州日报全媒体记者 黄维　　在遥远的贝尔格莱德，中国女篮带来了一个好消息。她们在东京奥运会女篮资格赛之中以86比76战胜了英国队，取得开门红。这是新型冠状病毒感染的肺炎疫情暴发之后，中国体育代表队在国际体坛的第一战。　　丢主场优势，中国队照样拼　　在贝尔格莱德，进行的是女篮奥运资格赛B组的赛事。中国、西班牙、英国、韩国4支球队将展开角逐。而就在10多天之前，这项比赛还被安排在佛山举办。由于疫情带来的严峻形势，国际篮联把比赛紧急转移到塞尔维亚的贝尔格莱德举行，这让中国女篮丢掉了主场优势，也打乱了备战的计划和节奏。　　但这支球队在快速调整之后，于2月1日就赶到了贝尔格莱德进行备战。和英国队这场比赛，是一场遭遇战——双方在历史上从未交手过。双方互相的情报工作，也许只是通过比赛的录像视频来掌握了。　　英国队是欧锦赛的四强球队，她们的“王牌”法格本莱效力于WNBA的明尼苏达山猫，实力不俗。在昨天的这场比赛之中，法格本莱也打得非常积极主动，全场她拿到26分，显示了自己的实力。　　英国队在一开场就来势汹汹，尤其是她们的外线进攻，打得有声有色。英国队前6次三分球命中了4次，第2节英国队打得更加收放自如，一度领先中国队8分，而这让中国女篮在追分的过程中有些被动。但在第3节中段，中国队打出了自己的特色，发挥了韩旭在内线的优势，在攻防两端的篮板球控制上非常出色；而女篮逐渐在外线也更加顺风顺水，最终以86比76击败了英国队。　　这场球，中国队打得更加整体，一共有5人得分上双。韩旭拿到16分和5个篮板球，李梦拿到16分，邵婷拿到16分和4次助攻，王思雨斩获14分、5个篮板球和3次助攻，李缘也有13分进账。英国队只有法格本莱和里德汉姆两个强点，她们联袂贡献45分。　　姚明来督战，主帅抓细节　　这场比赛的重要程度不言而喻，篮协主席姚明也来到现场督战。他在上半场中国队手风不顺的时候颇为严肃；但在中国女篮拿下比赛之后，他也对球队进行了鼓励。　　这次比赛的赛制并不复杂，16支球队被分在4个小组中，一个小组4支球队，在经过单循环比赛之后，每个小组的前3名出线，这样就产生了奥运会的12张门票。这种赛会制的比赛，赢球固然好，但往往要考虑的因素更多。在以往不少赛事中，许多球队在前一两轮都顺风顺水，但最后一轮打完就因为积分甚至小分的问题，遭遇遗憾的结果，这也让赛会制比赛之中的小分成了每支球队都要尽力争取的要素。　　在这个小组，西班牙队的实力一枝独秀，击败西班牙队是个很困难的任务。而英国队、韩国队、中国队实力相对接近，如果中国队在小组赛最后一战中不敌韩国队，就会面临三队同分计算小分的局面，所以尽量争取更多的小分，是中国女篮主帅许利民需要考虑的问题。　　昨天这场比赛，许利民在比赛大局已定的情况下，还非常纠结细节，仍然不忘演练战术。最后5.7秒的时候，女篮领先10分。他没有让时间白白走掉，他还叫了一个暂停，布置给邵婷投三分的战术，模拟在比赛最后关键时刻的情况，显得十分严谨。　　中国队这场比赛打得十分整体，9人有所斩获，5人得分上双。5名球员的上场时间也就20多分钟，其余球员的上场时间也不多，这也体现了许利民的轮转技巧，这让球队在下半场有了充分的体力来完成逆转。　　明日，中国女篮将迎战西班牙，2月9日中国女篮将挑战韩国队。　　更多精彩体育新闻请扫码关注广州日报APP运动+
面对挑战 心在一起,"　　不放弃、不言败，迎难而上、坚持到底，这样的精神不只闪耀在赛场，同样是全社会在面对困难时鼓舞人心、凝聚信心的强大力量
　　
　　2月7日，中国女足将在澳大利亚悉尼开始东京奥运会亚洲区预选赛B组最后阶段的赛事。
　　由于疫情防控的需要，女足队员王霜、姚伟、吕悦云和李梦雯未能随队出征。
　　一段视频显示，此时的王霜，每天戴着口罩，独自在天台上练球，盘带、颠球、对墙踢……还有跳绳等体能训练。她用自己的行动传递出一种态度：无论遇到什么样的困难，都要以积极的态度勇敢面对。
　　正如王霜在个人社交媒体上所说的那样：“团结一心，不放弃不抛弃，我们一定能扛过来的，相信国家，相信每一位在前线奋勇战斗的医护人员，伟大的民族精神让我们团结在一起突破重重难关。”此前，王霜已向武汉市慈善总会捐款，金额超过了她在巴黎圣日耳曼俱乐部踢球时的年薪。她也时常通过社交媒体转发疫情防控和援助信息。她的心和武汉的乡亲们在一起，也和万里之外的队友们在一起。
　　体育界也已投入支援抗击疫情阻击战的行列中。中超联赛、CBA（中国男篮职业联赛）联赛以及众多俱乐部和球员纷纷捐款或购买急需的防控物资支援武汉，或者拍摄视频鼓舞信心、送上祝福。众多奥运冠军、世界冠军也行动起来，捐款捐物、加油打气，展示居家锻炼的各种运动方式，为全社会带来抗击疫情的正能量，增添更多冲破阴霾的信心。
　　当下，虽然众多国内体育赛事被迫延期或取消，但体育和体育人并非无所作为。居家自我防护的人们，可以参与不同形式的家庭体育运动，度过这段非常时光。而体育人所代表的体育精神，也是困难的情势之中保持乐观坚强的一剂良方。中国女足主教练贾秀全表示，“虽然球队在备战奥运会预选赛过程中经历了很多波折，但目前队员精神状态很好，非常期待站上赛场。球队也会通过训练和比赛，努力调整，努力拼搏，争取好成绩。”2月6日，同样参加奥运会预选赛的中国女篮从贝尔格莱德传来胜利的消息。不放弃、不言败，迎难而上、坚持到底，这样的精神不只闪耀在赛场，同样是全社会在面对困难时鼓舞人心、凝聚信心的强大力量。"
徐惠琴夺得冠军,"　　本报北京2月6日电  （记者刘硕阳）当地时间5日，在法国兰斯举行的室内田径赛中，中国选手徐惠琴以4米50的成绩夺得女子撑杆跳高项目的冠军，为自己的新赛季开了一个好头，这个成绩也追平了她去年在法国欧比耶尔创造的室内个人最好成绩。
　　今年26岁的徐惠琴可谓年少成名，2012年便夺得了在斯里兰卡科伦坡举行的亚洲青年田径锦标赛冠军，两年之后又收获了仁川亚运会的第四名。然而随后几年中，徐惠琴成长的脚步有所放缓，伤病的阻碍、状态的低迷，使她甚至产生了退役的念头。直到2019年以前，她的室外个人最好成绩依旧停留在4米45。
　　“不甘心”的念头伴着徐惠琴克服了层层阻碍，她也终于在2019年迎来了自己的“爆发”之年。全年比赛中，徐惠琴共在多达8场赛事里越过了4米50的高度，7月11日，在德国约克格里姆举行的一场撑杆跳高专项比赛中，她以4米70的成绩夺得季军，同时创造了室外的个人最好成绩。9月底在卡塔尔多哈，徐惠琴第一次站上了世锦赛的赛场，虽然又一次跳过了4米50的高度，但还是未能从资格赛中突围。
　　不过，约克格里姆那场比赛中的4米70，已使徐惠琴拿到了今年东京奥运会的参赛资格。"
中国队首场战胜英国队,"　　本报北京2月6日电  （记者范佳元）当地时间6日，2020年东京奥运会女篮预选赛第三阶段比赛在塞尔维亚贝尔格莱德开始。首个比赛日，中国女篮以86∶76战胜英国女篮，首战告捷。
　　本场比赛，中国女篮的先发阵容为李缘、邵婷、李梦、李月汝、孙梦然。中国队这一内外均衡的阵容在开场取得19∶15的领先优势，随后英国队的8号外线投手翰迪连续命中三分球，将比分反超。此后双方你来我往，英国队内外开花，掌握了主动；而中国队外线命中率不高，无法为内线减轻防守压力。替补上场的中国队中锋韩旭成为上半场的亮点，她6投6中拿到12分，帮助中国队紧紧咬住比分。
　　下半场，中国队进行了战术调整，运用“遇到挡拆就换人”的战术，有效抑制住对手的外线投篮，同时韩旭、孙梦然等利用身高优势频频让对手的内线进攻无功而返。在进攻端，李缘的三分球吹响了中国队反击的号角，此后邵婷连得6分帮助中国队重新确立了领先优势。第三节中国队单节打出22∶13的比分，奠定了整场比赛的胜势。
　　本场比赛，中国队10名球员上场比赛，5名球员得分上双，替补球员得分以37∶18领先对手。韩旭、邵婷、李梦都拿到16分，同为中国队得分最多的球员。国际篮联官网在赛后评价韩旭为“中国队最关键的球员”。英国队主力中锋特米·法格宝莉拿到26分，为本场最高个人得分。
　　按照竞赛规则，小组前三名的球队将取得东京奥运会正式比赛资格，因此第一场的比赛胜利对中国女篮来说非常重要。接下来中国队还有两场比赛，分别是8日对阵西班牙队、9日对阵韩国队。"
寓运动于游戏 体感游戏燃起来,"长沙晚报2月6日讯（全媒体记者宁莎鸥）如果你嫌单纯的运动太枯燥，也可以寓运动于游戏。在智能设备普及的当下，想要玩一套体感游戏难度并不大。
如果您家中有PS4、XBOX或者Switch等家用游戏机的话，那么有很多体感游戏都适合不能出门的你流汗顺带打发时间。《健身环大冒险》就是时下很火的一款游戏，它把深蹲、平板支撑、高抬腿等基本运动与打怪过关相结合，你的每一个健身动作等会化作打怪的“绝招”，丰富的玩法能让你的室内运动不再枯燥。
《舞动全城》也是流行已久的游戏，通过体感设备，你能合着最时尚的音乐，跟着屏幕上的动画人物一同起舞，不但能运动流汗，说不定还能练成舞蹈巨星了。
此外，《2020东京奥运会》《尊巴燃起来》等也都是可玩度很高的游戏。
当然，如果你嫌游戏机和游戏太贵的话，还有不花钱的体感游戏。现在安卓、iOS系统上也有不少体感游戏平台，只要有一台智能手机、带智能系统的电视机或机顶盒，你就能轻松实现与电视互联，手机秒变网球拍、棒球棒，完成简单而有趣的体感运动。"
